price_id,item_id,ts,price,qty,size,source_file,raw_product_line,brand_name,attributes
252,122,2025-08-11,6.99,1,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Hass Avocados,Store brand,
408,122,2026-01-10,6.99,1,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Hass Avocados,Store brand,
226,122,2025-09-17,6.99,1,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Hass Avocados,Store brand,
290,156,2025-07-03,4.75,1.99,,Store 1.txt,Organic Japanese Sweet Potatoes,Store brand,
417,205,2026-01-10,5.99,1,Bunch bound with plastic twist tie,Store 1.txt,"Organic Leeks, Bunch",Store brand,
281,149,2025-07-03,6.19,1,"7-8ct, approx. 1lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Limes,Store brand,
307,131,2025-06-05,2.99,1,approx. 0.5oz plastic clamshell containers,Store 1.txt,Organic Mint,Store brand,
349,131,2025-04-09,8,4,approx. 0.5oz plastic clamshell containers,Store 1.txt,Organic Mint,Store brand,
402,131,2025-01-18,2.75,1,approx. 0.5oz plastic clamshell containers,Store 1.txt,Organic Mint,Store brand,
239,131,2025-09-17,2.5,1,approx. 0.5oz plastic clamshell containers,Store 1.txt,Organic Mint,Store brand,
359,175,2025-01-31,3.98,2,,Store 1.txt,Organic Navel Orange,Store brand,
360,176,2025-01-31,4,2,,Store 1.txt,Organic Pink Grapefruit,Store brand,
369,182,2025-01-24,1.99,1,,Store 1.txt,Organic Red Anjou Pear,Store brand,
323,135,2025-05-13,13.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
308,135,2025-06-05,6.99,1,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
254,135,2025-08-11,11.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
314,135,2025-05-21,13.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
276,135,2025-07-17,6.99,1,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
262,135,2025-07-30,11.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
296,135,2025-06-19,13.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
291,135,2025-07-03,13.98,2,"approx.2lb, plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Red Onions,Store brand,
324,63,2025-05-13,9.98,2,,Store 1.txt,Organic Roma Tomatoes,Store brand,
340,63,2025-04-21,4.99,1,,Store 1.txt,Organic Roma Tomatoes,Store brand,
309,63,2025-06-05,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
255,63,2025-08-11,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
315,63,2025-05-21,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
277,63,2025-07-17,5.19,1,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
263,63,2025-07-30,9.98,2,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
418,63,2026-01-10,4.99,1,"approx. 1lb, plastic clamshell containers",Store 1.txt,Organic Roma Tomatoes,Store brand,
